,Negative_Words
0,shake
1,lack
2,fascist
3,danger
4,falls
5,hardball
6,mocking
7,imprison
8,hack
9,death
10,imprison
11,hack
12,death
13,miss
14,shocked
15,conservative
16,moody
17,sad
18,mocking
19,scam
20,overwhelming
21,penalize
22,miss
23,headache
24,jerky
25,bankrupt
26,indefensible
27,persecution
28,stolen
29,hostage
30,bullying
31,mocking
32,scam
33,mistakes
34,bankrupt
35,broke
36,bankrupt
37,sneaky
38,miss
39,miss
40,poor
41,hostage
42,bullying
43,broke
44,bloody
45,suicide
46,depression
47,bad
48,whining
49,hostage
50,craze
51,incorrectly
52,patronize
53,ruined
54,perversely
55,crime
56,mar
57,steals
58,fascist
59,vice
60,wrong
61,strike
62,corruption
63,limited
64,rip
65,miss
66,craze
67,incorrectly
68,patronize
69,criminal
70,tank
71,corrosive
72,illusion
73,worry
74,mistakes
75,die
76,craze
77,incorrectly
78,patronize
79,disgraced
80,incompetent
81,disgraced
82,incompetent
83,complex
84,refused
85,cancer
86,death
87,issues
88,attack
89,corrosive
90,stress
91,craze
92,incorrectly
93,patronize
94,crime
95,mar
96,corruption
97,miss
98,illusion
99,corruption
100,stranger
101,craze
102,incorrectly
103,patronize
104,craze
105,incorrectly
106,patronize
107,dark
108,uncertain
109,vice
110,scam
111,corruption
112,attack
113,craze
114,incorrectly
115,patronize
116,complex
117,issues
118,corruption
119,craze
120,incorrectly
121,patronize
122,miss
123,issues
124,craze
125,incorrectly
126,patronize
127,aggressive
128,meltdown
129,fake
130,urgent
131,urgent
132,urgent
133,urgent
134,fucking
135,hate
136,urgent
137,falling
138,alarm
139,urgent
140,rip
141,sorry
142,dusty
143,failed
144,urgent
145,urgent
146,urgent
147,murder
148,killed
149,urgent
150,falling
151,risk
152,freezing
153,murder
154,risk
155,freezing
156,jealous
157,urgent
158,miss
159,falling
160,racist
161,murder
162,break
163,hard
164,sick
165,crazy
166,murder
167,falling
168,lost
169,outrageous
170,racism
171,shock
172,breaking
173,impaired
174,confusion
175,moody
176,dangerous
177,sick
178,disadvantaged
179,breaking
180,poor
181,breaking
182,rhetoric
183,breaking
184,brutal
185,break
186,lack
187,disadvantaged
188,break
189,overwhelmingly
190,disadvantaged
191,attack
192,breaking
193,breaking
194,cons
195,breaking
196,breaking
197,breaking
198,breaking
199,breaking
200,breaking
201,breaking
202,breaking
203,breaking
204,breaking
205,refuse
206,break
207,brutal
208,disadvantaged
209,disadvantaged
210,disadvantaged
211,tricky
212,problem
213,disadvantaged
214,disadvantaged
215,sucks
216,hard
217,slashing
218,disadvantaged
219,disadvantaged
220,disadvantaged
221,attack
222,rubbish
223,disadvantaged
224,attack
225,disadvantaged
226,stupidest
227,disastrous
228,angry
229,sadly
230,conservative
231,despise
232,bad
233,strike
234,attack
235,rhetoric
236,strike
237,strike
238,slashing
239,rhetoric
240,resigned
241,resigned
242,vice
243,debacle
244,racism
245,resigned
246,corruption
247,vice
248,debacle
249,corruption
250,resigned
251,resigned
252,corruption
253,corruption
254,corruption
255,corruption
256,corruption
257,corruption
258,corruption
259,corruption
260,resigned
261,corruption
262,corruption
263,corruption
264,corruption
265,corruption
266,corruption
267,corruption
268,corruption
269,corruption
270,corruption
271,vice
272,debacle
273,corruption
274,corruption
275,corruption
276,vice
277,debacle
278,resigned
279,resigned
280,resigned
281,racism
282,craze
283,disappointment
284,trouble
285,craze
286,disappointment
